No,Codigo,Departamento,Municipio,Latitud,Longitud,Nombre Establecimiento,Direccion
18032,17-08-0133-42,PETEN,DOLORES,16.514298,-89.417774,EODP ANEXA A EOUM,BARRIO EL CENTRO
18033,17-08-0178-43,PETEN,DOLORES,16.514298,-89.417774,EOUM,BARRIO EL CENTRO
18034,17-08-1200-43,PETEN,DOLORES,16.514298,-89.417774,EOUM,BARRIO EL CENTRO
18035,17-12-0369-43,PETEN,POPTUN,16.334539,-89.417525,EOUM,EL REFORMADOR
18036,17-12-1160-43,PETEN,POPTUN,16.334539,-89.417525,EOUM,BARRIO EL REFORMADOR
18037,17-12-3428-42,PETEN,POPTUN,16.334539,-89.417525,EODP EL REFORMADOR,"AVENIDA 15 DE SEPTIEMBRE 7-49, ZONA 1 BARRIO EL REFORMADOR"
18038,17-09-0255-43,PETEN,SAN LUIS,16.232583,-89.417257,EORM,CASERIO NUEVA CONCEPCION
18039,17-08-0017-42,PETEN,DOLORES,16.507828,-89.417234,EODP,BARRIO NUEVO DEL CARMEN
18040,17-08-0036-43,PETEN,DOLORES,16.507828,-89.417234,EORM,BARRIO NUEVO DEL CARMEN
18041,17-12-0394-45,PETEN,POPTUN,16.333147,-89.417186,"INEB ""PROFESOR JOSE VICENTE LOPEZ Y LOPEZ""",AVE. 15 DE SEPTIEMBRE 0-41 ZONA 2;
18042,17-12-0397-46,PETEN,POPTUN,16.333147,-89.417186,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,AVENIDA 15 DE SEPTIEMBRE 0-41 ZONA 2
18043,17-12-0072-45,PETEN,POPTUN,16.333147,-89.417176,INEB,BARRIO EL CENTRO AVE. 15 DE SEPTIEMBRE ZONA 1
18044,17-08-0075-43,PETEN,DOLORES,16.516921,-89.416923,EORM,BARRIO VISTA HERMOSA
18045,17-08-0076-42,PETEN,DOLORES,16.516921,-89.416923,EODP ANEXA A EORM,BARRIO VISTA HERMOSA
18046,17-12-0014-42,PETEN,POPTUN,16.330257,-89.414413,EODP,BARRIO LAS TRES CRUCES DE LA ZONA 2 POPTUN
18047,17-12-0043-43,PETEN,POPTUN,16.330257,-89.414413,EORM BARRIO LAS TRES CRUCES DE LA ZONA 2,BARRIO LAS TRES CRUCES DE LA ZONA 2
18048,17-08-0009-42,PETEN,DOLORES,16.506762,-89.413335,EODP BARRIO SAN RAMON,BARRIO SAN RAMON
